Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Log Work,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Sprint,Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
Verify the future date is accepted.,RE-95,10094,Test,Blocked,RE,Real estate,software,Shruti Patil,612ef7c27c4e7900711e9356,,Medium,Done,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,08/Sep/21 9:52 AM,08/Sep/21 6:30 PM,08/Sep/21 6:06 PM,08/Sep/21 10:50 AM,,0,,,Shruti Patil,612ef7c27c4e7900711e9356,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0000q:,,RE Sprint 2,RE Sprint 4,,,,,,,,,In Progress
Verify admin remove the title name field from the bulk edit.,RE-94,10093,Test,Done,RE,Real estate,software,Shruti Patil,612ef7c27c4e7900711e9356,,Medium,Done,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,08/Sep/21 9:42 AM,09/Sep/21 4:04 AM,09/Sep/21 4:53 AM,08/Sep/21 10:56 AM,,0,,,Shruti Patil,612ef7c27c4e7900711e9356,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0000q:zq,,RE Sprint 2,RE Sprint 4,,,,,,,,,Done
"As a admin , I should be able to pagination by clicking on arrows.",RE-93,10092,Story,Done,RE,Real estate,software,Shruti Patil,612ef7c27c4e7900711e9356,,Medium,Done,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,08/Sep/21 9:36 AM,08/Sep/21 5:16 PM,08/Sep/21 5:17 PM,08/Sep/21 4:32 PM,,0,,,Shruti Patil,612ef7c27c4e7900711e9356,;08/Sep/21 2:50 PM;ug:344917ca-ed78-4eec-8606-29a610e791bd;2400,2400,0,2400,100%,2400,0,2400,,,,,,,,,,,,,,{},,RE-1,,,,,0|i0000m:9,,RE Sprint 2,RE Sprint 4,,,,,,,,,Done
Verify pagination by clicking on arrow.,RE-92,10091,Test,Done,RE,Real estate,software,Shruti Patil,612ef7c27c4e7900711e9356,,Medium,Done,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,08/Sep/21 9:34 AM,09/Sep/21 4:06 AM,09/Sep/21 4:53 AM,08/Sep/21 10:52 AM,,0,,,Shruti Patil,612ef7c27c4e7900711e9356,,,,,,,,,,,,RE-93,,,,,,,,,,{},,,,,,,0|i0000r:,,RE Sprint 2,RE Sprint 4,,,,,,,,,Done
verify the click on expired properties.,RE-91,10090,Test,Done,RE,Real estate,software,Shruti Patil,612ef7c27c4e7900711e9356,,Medium,Done,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,08/Sep/21 9:25 AM,09/Sep/21 4:09 AM,09/Sep/21 3:29 AM,08/Sep/21 10:57 AM,,0,,,Shruti Patil,612ef7c27c4e7900711e9356,,,,,,,,,,,,RE-2,,,,,,,,,,{},,,,,,,0|i0000q:zz9,,RE Sprint 2,RE Sprint 4,,,,,,,,,Done
verify the click on trash properties.,RE-90,10089,Test,Done,RE,Real estate,software,Shruti Patil,612ef7c27c4e7900711e9356,,Medium,Done,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,08/Sep/21 9:25 AM,09/Sep/21 4:07 AM,09/Sep/21 4:53 AM,08/Sep/21 10:56 AM,,0,,,Shruti Patil,612ef7c27c4e7900711e9356,,,,,,,,,,,,RE-2,,,,,,,,,,{},,,,,,,0|i0000q:zzm,,RE Sprint 2,RE Sprint 4,,,,,,,,,Done
verify the click on private properties.,RE-89,10088,Test,Done,RE,Real estate,software,Shruti Patil,612ef7c27c4e7900711e9356,,Medium,Done,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,08/Sep/21 9:24 AM,09/Sep/21 4:06 AM,09/Sep/21 4:53 AM,08/Sep/21 10:57 AM,,0,,,Shruti Patil,612ef7c27c4e7900711e9356,,,,,,,,,,,,RE-2,,,,,,,,,,{},,,,,,,0|i0000q:zzk,,RE Sprint 2,RE Sprint 4,,,,,,,,,Done
verify the click on drafts properties,RE-88,10087,Test,Done,RE,Real estate,software,Shruti Patil,612ef7c27c4e7900711e9356,,Medium,Done,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,08/Sep/21 9:24 AM,09/Sep/21 4:11 AM,09/Sep/21 4:53 AM,08/Sep/21 10:56 AM,,0,,,Shruti Patil,612ef7c27c4e7900711e9356,,,,,,,,,,,,RE-2,,,,,,,,,,{},,,,,,,0|i0000q:zzj,,RE Sprint 2,RE Sprint 4,,,,,,,,,Done
verify the click on published properties.,RE-87,10086,Test,Done,RE,Real estate,software,Shruti Patil,612ef7c27c4e7900711e9356,,Medium,Done,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,08/Sep/21 9:23 AM,09/Sep/21 4:07 AM,08/Sep/21 4:56 PM,08/Sep/21 10:58 AM,,0,,,Shruti Patil,612ef7c27c4e7900711e9356,,,,,,,,,,,,RE-2,,,,,,,,,,{},,,,,,,0|i0000q:zzv,,RE Sprint 2,RE Sprint 4,,,,,,,,,Done
Verify the click on mine properties.,RE-86,10085,Test,Done,RE,Real estate,software,Shruti Patil,612ef7c27c4e7900711e9356,,Medium,Done,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,08/Sep/21 9:23 AM,09/Sep/21 4:06 AM,08/Sep/21 4:57 PM,08/Sep/21 10:56 AM,,0,,,Shruti Patil,612ef7c27c4e7900711e9356,,,,,,,,,,,,RE-2,,,,,,,,,,{},,,,,,,0|i0000q:zzji,,RE Sprint 2,RE Sprint 4,,,,,,,,,Done
