Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Log Work,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Sprint,Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
verify the admin should be select one or more checkboxes of Region field in edit option.,RE-62,10061,Test,Done,RE,Real estate,software,Shruti Patil,612ef7c27c4e7900711e9356,,Medium,Done,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,06/Sep/21 8:46 AM,09/Sep/21 4:08 AM,08/Sep/21 4:34 PM,08/Sep/21 10:51 AM,,0,,,Shruti Patil,612ef7c27c4e7900711e9356,,,,,,,,,,,RE-21,,,,,,,,,,,{},,,,,,,0|i0000q:ztr,,RE Sprint 2,RE Sprint 4,,,,,,,,,Done
verify the admin should be select one or more checkboxes of featured field in edit option.,RE-61,10060,Test,Done,RE,Real estate,software,Shruti Patil,612ef7c27c4e7900711e9356,,Medium,Done,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,06/Sep/21 8:46 AM,09/Sep/21 4:04 AM,09/Sep/21 4:53 AM,08/Sep/21 10:52 AM,,0,,,Shruti Patil,612ef7c27c4e7900711e9356,,,,,,,,,,,,RE-6,,,,,,,,,,{},,,,,,,0|i0000q:zov,,RE Sprint 2,RE Sprint 4,,,,,,,,,Done
Verify the title field with bulk edit.,RE-59,10058,Test,Done,RE,Real estate,software,Shruti Patil,612ef7c27c4e7900711e9356,,Medium,Done,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,06/Sep/21 8:41 AM,09/Sep/21 4:04 AM,09/Sep/21 4:53 AM,08/Sep/21 10:56 AM,,0,,,Shruti Patil,612ef7c27c4e7900711e9356,,,,,,,,,,,,RE-6,,,,,,,,,,{},,,,,,,0|i0000q:zor,,RE Sprint 2,RE Sprint 4,,,,,,,,,Done
Verify the admin should be able check preview or view data of title field.,RE-58,10057,Test,Done,RE,Real estate,software,Shruti Patil,612ef7c27c4e7900711e9356,,Medium,Done,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,06/Sep/21 8:30 AM,09/Sep/21 4:05 AM,09/Sep/21 4:53 AM,08/Sep/21 10:57 AM,,0,,,Shruti Patil,612ef7c27c4e7900711e9356,,,,,,,,,,RE-12,,,,,,,,,,,,{},,,,,,,0|i0000q:zuy,,RE Sprint 2,RE Sprint 4,,,,,,,,,Done
Verify the action field show pending review status.,RE-56,10055,Test,Blocked,RE,Real estate,software,Shruti Patil,612ef7c27c4e7900711e9356,,Medium,Done,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,06/Sep/21 6:22 AM,08/Sep/21 6:42 PM,09/Sep/21 4:02 AM,08/Sep/21 10:51 AM,,0,,,Shruti Patil,612ef7c27c4e7900711e9356,,,,,,,,,,,RE-16,,,,,,,,,,,{},,,,,,,0|i0000q:zo,,RE Sprint 2,RE Sprint 4,,,,,,,,,In Progress
Verify the action field show the published status.,RE-55,10054,Test,Done,RE,Real estate,software,Shruti Patil,612ef7c27c4e7900711e9356,,Medium,Done,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,06/Sep/21 6:21 AM,09/Sep/21 4:12 AM,09/Sep/21 4:53 AM,08/Sep/21 10:51 AM,,0,,,Shruti Patil,612ef7c27c4e7900711e9356,,,,,,,,,,,RE-16,,,,,,,,,,,{},,,,,,,0|i0000q:zt,,RE Sprint 2,RE Sprint 4,,,,,,,,,Done
Verify the action field show draft status.,RE-54,10053,Test,Done,RE,Real estate,software,Shruti Patil,612ef7c27c4e7900711e9356,,Medium,Done,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,06/Sep/21 6:21 AM,09/Sep/21 4:10 AM,09/Sep/21 4:53 AM,08/Sep/21 10:56 AM,,0,,,Shruti Patil,612ef7c27c4e7900711e9356,,,,,,,,,,,RE-16,,,,,,,,,,,{},,,,,,,0|i0000q:zp,,RE Sprint 2,RE Sprint 4,,,,,,,,,Done
Verify the title name  field with numeric data.,RE-53,10052,Test,Done,RE,Real estate,software,Shruti Patil,612ef7c27c4e7900711e9356,,Medium,Done,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,06/Sep/21 5:35 AM,09/Sep/21 4:04 AM,09/Sep/21 3:42 AM,08/Sep/21 10:55 AM,,0,,,Shruti Patil,612ef7c27c4e7900711e9356,,,,,,,,,,,,RE-31,,,,,,,,,,{},,,,,,,0|i0000q:xr,,RE Sprint 2,RE Sprint 4,,,,,,,,,Done
verify the admin should be select one or more checkboxes of featured field in drop down list.,RE-52,10051,Test,Done,RE,Real estate,software,Shruti Patil,612ef7c27c4e7900711e9356,,Medium,Done,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,06/Sep/21 5:31 AM,09/Sep/21 4:05 AM,09/Sep/21 4:53 AM,08/Sep/21 10:50 AM,,0,,,Shruti Patil,612ef7c27c4e7900711e9356,,,,,,,,,,,,RE-31,,,,,,,,,,{},,,,,,,0|i0000p:i,,RE Sprint 2,RE Sprint 4,,,,,,,,,Done
verify the status field should be in Pending Reviews.,RE-51,10050,Test,Blocked,RE,Real estate,software,Shruti Patil,612ef7c27c4e7900711e9356,,Medium,Done,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,06/Sep/21 5:30 AM,08/Sep/21 7:23 PM,08/Sep/21 7:24 PM,08/Sep/21 10:51 AM,,0,,,Shruti Patil,612ef7c27c4e7900711e9356,,,,,,,,,,,,RE-31,,,,,,,,,,{},,,,,,,0|i0000q:x9,,RE Sprint 2,RE Sprint 4,,,,,,,,,In Progress
verify the status field should be in Draft.,RE-50,10049,Test,Done,RE,Real estate,software,Shruti Patil,612ef7c27c4e7900711e9356,,Medium,Done,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,06/Sep/21 5:29 AM,09/Sep/21 4:10 AM,09/Sep/21 4:53 AM,08/Sep/21 10:56 AM,,0,,,Shruti Patil,612ef7c27c4e7900711e9356,,,,,,,,,,,,RE-31,,,,,,,,,,{},,,,,,,0|i0000q:zv,,RE Sprint 2,RE Sprint 4,,,,,,,,,Done
verify the status field should be published.,RE-49,10048,Test,Done,RE,Real estate,software,Shruti Patil,612ef7c27c4e7900711e9356,,Medium,Done,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,06/Sep/21 5:27 AM,09/Sep/21 4:07 AM,08/Sep/21 4:35 PM,08/Sep/21 10:50 AM,,0,,,Shruti Patil,612ef7c27c4e7900711e9356,,,,,,,,,,,,RE-31,,,,,,,,,,{},,,,,,,0|i0000q:x,,RE Sprint 2,RE Sprint 4,,,,,,,,,Done
Verify the comment field is not allowed.,RE-48,10047,Test,Done,RE,Real estate,software,Shruti Patil,612ef7c27c4e7900711e9356,,Medium,Done,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,06/Sep/21 5:27 AM,09/Sep/21 4:04 AM,09/Sep/21 4:20 AM,08/Sep/21 10:51 AM,,0,,,Shruti Patil,612ef7c27c4e7900711e9356,,,,,,,,,,,,RE-31,,,,,,,,,,{},,,,,,,0|i0000q:yi,,RE Sprint 2,RE Sprint 4,,,,,,,,,Done
Verify the comment field is allowed.,RE-47,10046,Test,Done,RE,Real estate,software,Shruti Patil,612ef7c27c4e7900711e9356,,Medium,Done,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,06/Sep/21 5:25 AM,09/Sep/21 4:12 AM,09/Sep/21 4:53 AM,08/Sep/21 10:50 AM,,0,,,Shruti Patil,612ef7c27c4e7900711e9356,,,,,,,,,,,,RE-31,,,,,,,,,,{},,,,,,,0|i0000q:y,,RE Sprint 2,RE Sprint 4,,,,,,,,,Done
verify the admin should be select one or more checkboxes of region field in drop down list.,RE-46,10045,Test,Done,RE,Real estate,software,Shruti Patil,612ef7c27c4e7900711e9356,,Medium,Done,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,06/Sep/21 5:23 AM,09/Sep/21 4:06 AM,09/Sep/21 4:53 AM,08/Sep/21 10:52 AM,,0,,,Shruti Patil,612ef7c27c4e7900711e9356,,,,,,,,,,,,RE-31,,,,,,,,,,{},,,,,,,0|i0000q:r,,RE Sprint 2,RE Sprint 4,,,,,,,,,Done
"Verify In the password field , password should be Protected.",RE-45,10044,Test,Done,RE,Real estate,software,Shruti Patil,612ef7c27c4e7900711e9356,,Medium,Done,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,06/Sep/21 5:00 AM,09/Sep/21 4:09 AM,08/Sep/21 4:33 PM,08/Sep/21 10:50 AM,,0,,,Shruti Patil,612ef7c27c4e7900711e9356,,,,,,,,,,,,RE-31,,,,,,,,,,{},,,,,,,0|i0000q:v,,RE Sprint 2,RE Sprint 4,,,,,,,,,Done
verify the password field should be Public.,RE-44,10043,Test,Done,RE,Real estate,software,Shruti Patil,612ef7c27c4e7900711e9356,,Medium,Done,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,06/Sep/21 4:59 AM,09/Sep/21 4:12 AM,09/Sep/21 4:53 AM,08/Sep/21 10:52 AM,,0,,,Shruti Patil,612ef7c27c4e7900711e9356,,,,,,,,,,,,RE-31,,,,,,,,,,{},,,,,,,0|i0000q:z,,RE Sprint 2,RE Sprint 4,,,,,,,,,Done
verify the title name field with null value.,RE-43,10042,Test,Done,RE,Real estate,software,Shruti Patil,612ef7c27c4e7900711e9356,,Medium,Done,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,06/Sep/21 4:58 AM,09/Sep/21 4:04 AM,09/Sep/21 3:36 AM,08/Sep/21 10:51 AM,,0,,,Shruti Patil,612ef7c27c4e7900711e9356,,,,,,,,,,,,RE-31,,,,,,,,,,{},,,,,,,0|i0000q:zi,,RE Sprint 2,RE Sprint 4,,,,,,,,,Done
verify the password field should be private.,RE-42,10041,Test,Done,RE,Real estate,software,Shruti Patil,612ef7c27c4e7900711e9356,,Medium,Done,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,06/Sep/21 4:55 AM,09/Sep/21 4:11 AM,09/Sep/21 3:36 AM,08/Sep/21 10:55 AM,,0,,,Shruti Patil,612ef7c27c4e7900711e9356,,,,,,,,,,,,RE-31,,,,,,,,,,{},,,,,,,0|i0000q:yr,,RE Sprint 2,RE Sprint 4,,,,,,,,,Done
verify the password field with special character.,RE-41,10040,Test,Done,RE,Real estate,software,Shruti Patil,612ef7c27c4e7900711e9356,,Medium,Done,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,06/Sep/21 4:54 AM,09/Sep/21 4:11 AM,08/Sep/21 4:34 PM,08/Sep/21 10:55 AM,,0,,,Shruti Patil,612ef7c27c4e7900711e9356,,,,,,,,,,,,RE-31,,,,,,,,,,{},,,,,,,0|i0000q:zy,,RE Sprint 2,RE Sprint 4,,,,,,,,,Done
verify password field with alphanumeric data.,RE-40,10039,Test,Done,RE,Real estate,software,Shruti Patil,612ef7c27c4e7900711e9356,,Medium,Done,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,06/Sep/21 4:53 AM,09/Sep/21 4:04 AM,09/Sep/21 4:19 AM,08/Sep/21 10:51 AM,,0,,,Shruti Patil,612ef7c27c4e7900711e9356,,,,,,,,,,,,RE-31,,,,,,,,,,{},,,,,,,0|i0000q:xf,,RE Sprint 2,RE Sprint 4,,,,,,,,,Done
verify the password should be valid.,RE-39,10038,Test,Done,RE,Real estate,software,Shruti Patil,612ef7c27c4e7900711e9356,,Medium,Done,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,06/Sep/21 4:52 AM,09/Sep/21 4:04 AM,09/Sep/21 4:53 AM,08/Sep/21 10:52 AM,,0,,,Shruti Patil,612ef7c27c4e7900711e9356,,,,,,,,,,,,RE-31,,,,,,,,,,{},,,,,,,0|i0000q:xi,,RE Sprint 2,RE Sprint 4,,,,,,,,,Done
verify the author name field with select from given drop down list.,RE-38,10037,Test,Done,RE,Real estate,software,Shruti Patil,612ef7c27c4e7900711e9356,,Medium,Done,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,06/Sep/21 4:51 AM,09/Sep/21 4:08 AM,09/Sep/21 3:35 AM,08/Sep/21 10:51 AM,,0,,,Shruti Patil,612ef7c27c4e7900711e9356,,,,,,,,,,,,RE-31,,,,,,,,,,{},,,,,,,0|i0000q:w,,RE Sprint 2,RE Sprint 4,,,,,,,,,Done
Verify the format of date in date of quick edit field.,RE-37,10036,Test,Done,RE,Real estate,software,Shruti Patil,612ef7c27c4e7900711e9356,,Medium,Done,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,06/Sep/21 4:39 AM,09/Sep/21 4:12 AM,09/Sep/21 4:53 AM,08/Sep/21 10:50 AM,,0,,,Shruti Patil,612ef7c27c4e7900711e9356,,,,,,,,,,,,RE-31,,,,,,,,,,{},,,,,,,0|i0000q:zr,,RE Sprint 2,RE Sprint 4,,,,,,,,,Done
Verify the selection date in date of quick edit field.,RE-36,10035,Test,Done,RE,Real estate,software,Shruti Patil,612ef7c27c4e7900711e9356,,Medium,Done,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,06/Sep/21 4:38 AM,09/Sep/21 4:08 AM,08/Sep/21 5:24 PM,08/Sep/21 10:50 AM,,0,,,Shruti Patil,612ef7c27c4e7900711e9356,,,,,,,,,,,,RE-31,,,,,,,,,,{},,,,,,,0|i0000q:wi,,RE Sprint 2,RE Sprint 4,,,,,,,,,Done
Verify the title name  field with special character.,RE-34,10033,Test,Blocked,RE,Real estate,software,Shruti Patil,612ef7c27c4e7900711e9356,,Medium,Done,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,06/Sep/21 4:32 AM,08/Sep/21 5:55 PM,08/Sep/21 5:24 PM,08/Sep/21 10:51 AM,,0,,,Shruti Patil,612ef7c27c4e7900711e9356,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0000q:wr,,RE Sprint 2,RE Sprint 4,,,,,,,,,In Progress
Verify the title name  field with alphanumeric data.,RE-33,10032,Test,Done,RE,Real estate,software,Shruti Patil,612ef7c27c4e7900711e9356,,Medium,Done,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,06/Sep/21 4:23 AM,09/Sep/21 4:10 AM,09/Sep/21 3:41 AM,08/Sep/21 10:55 AM,,0,,,Shruti Patil,612ef7c27c4e7900711e9356,,,,,,,,,,,,RE-31,,,,,,,,,,{},,,,,,,0|i0000q:xv,,RE Sprint 2,RE Sprint 4,,,,,,,,,Done
Verify the admin should be able to Quick edit the data.,RE-32,10031,Test,Done,RE,Real estate,software,Shruti Patil,612ef7c27c4e7900711e9356,,Medium,Done,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,06/Sep/21 4:14 AM,09/Sep/21 4:04 AM,08/Sep/21 5:24 PM,08/Sep/21 10:55 AM,,0,,,Shruti Patil,612ef7c27c4e7900711e9356,,,,,,,,,,,,RE-31,,,,,,,,,,{},,,,,,,0|i0000q:ym,,RE Sprint 2,RE Sprint 4,,,,,,,,,Done
"As a admin, I should be able to Quick edit the data in all properties.",RE-31,10030,Story,Blocked,RE,Real estate,software,Shruti Patil,612ef7c27c4e7900711e9356,,Medium,Done,,,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,06/Sep/21 4:11 AM,09/Sep/21 4:03 AM,09/Sep/21 4:20 AM,08/Sep/21 5:35 PM,,0,,,Shruti Patil,612ef7c27c4e7900711e9356,,,,,,,,,,,,RE-34,,,,,,,,,,{},,RE-1,,,,,0|i0000m:1,,RE Sprint 2,RE Sprint 4,,,,,,,,,In Progress
verify the list view mode field in screen option.,RE-30,10029,Test,Done,RE,Real estate,software,Shruti Patil,612ef7c27c4e7900711e9356,,Medium,Done,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,06/Sep/21 3:57 AM,09/Sep/21 4:09 AM,09/Sep/21 4:53 AM,08/Sep/21 10:55 AM,,0,,,Shruti Patil,612ef7c27c4e7900711e9356,,,,,,,,,,,RE-29,RE-5,,,,,,,,,,{},,,,,,,0|i0000q:zut,,RE Sprint 2,RE Sprint 4,,,,,,,,,Done
Verify the admin should be able to click on Screen Option.,RE-29,10028,Test,Done,RE,Real estate,software,Shruti Patil,612ef7c27c4e7900711e9356,,Medium,Done,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,06/Sep/21 3:50 AM,09/Sep/21 4:08 AM,09/Sep/21 4:53 AM,08/Sep/21 10:52 AM,,0,,,Shruti Patil,612ef7c27c4e7900711e9356,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0000q:zuv,,RE Sprint 2,RE Sprint 4,,,,,,,,,Done
Verify the admin should able to check Region field of property.,RE-28,10027,Test,Done,RE,Real estate,software,Shruti Patil,612ef7c27c4e7900711e9356,,Medium,Done,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,05/Sep/21 8:03 AM,09/Sep/21 4:11 AM,09/Sep/21 4:53 AM,08/Sep/21 10:58 AM,,0,,,Shruti Patil,612ef7c27c4e7900711e9356,,,,,,,,,,,,RE-14,,,,,,,,,,{},,,,,,,0|i0000q:zz,,RE Sprint 2,RE Sprint 4,,,,,,,,,Done
Verify the admin should be able to edit Title field of property.,RE-27,10026,Test,Done,RE,Real estate,software,Shruti Patil,612ef7c27c4e7900711e9356,,Medium,Done,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,04/Sep/21 10:03 AM,09/Sep/21 4:10 AM,09/Sep/21 4:53 AM,08/Sep/21 10:57 AM,,0,,,Shruti Patil,612ef7c27c4e7900711e9356,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0000q:zuz,,RE Sprint 2,RE Sprint 4,,,,,,,,,Done
"verify the admin should be able to select multiple checkboxes that properties go to the expire properties.





",RE-25,10024,Test,Done,RE,Real estate,software,Shruti Patil,612ef7c27c4e7900711e9356,,Medium,Done,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,03/Sep/21 3:39 AM,09/Sep/21 4:04 AM,08/Sep/21 4:35 PM,08/Sep/21 2:23 PM,,0,,,Shruti Patil,612ef7c27c4e7900711e9356,,,,,,,,,,,,RE-10,,,,,,,,,,{},,,,,,,0|i0000q:zn,,RE Sprint 1,RE Sprint 2,RE Sprint 4,,,,,,,,Done
Verify the admin should be able to check the data by using month and year wise applying filter button.,RE-24,10023,Test,Done,RE,Real estate,software,Shruti Patil,612ef7c27c4e7900711e9356,,Medium,Done,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,02/Sep/21 6:31 PM,09/Sep/21 4:04 AM,08/Sep/21 4:33 PM,08/Sep/21 10:52 AM,,0,,,Shruti Patil,612ef7c27c4e7900711e9356,,,,,,,,,,,,RE-9,,,,,,,,,,{},,,,,,,0|i0000q:yv,,RE Sprint 1,RE Sprint 2,RE Sprint 4,,,,,,,,Done
"verify the admin should able to select multiple checkboxes so I used bulk action by apply button.





",RE-23,10022,Test,Done,RE,Real estate,software,Shruti Patil,612ef7c27c4e7900711e9356,,Medium,Done,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,02/Sep/21 6:27 PM,09/Sep/21 4:04 AM,08/Sep/21 4:34 PM,08/Sep/21 10:51 AM,,0,,,Shruti Patil,612ef7c27c4e7900711e9356,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0000q:zo9,,RE Sprint 1,RE Sprint 2,RE Sprint 4,,,,,,,,Done
Verify the admin should be able to move the deleting data into trash.,RE-22,10021,Test,Done,RE,Real estate,software,Shruti Patil,612ef7c27c4e7900711e9356,,Medium,Done,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,02/Sep/21 12:36 PM,09/Sep/21 4:07 AM,09/Sep/21 4:53 AM,08/Sep/21 10:51 AM,,0,,,Shruti Patil,612ef7c27c4e7900711e9356,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0000q:zoi,,RE Sprint 1,RE Sprint 2,RE Sprint 4,,,,,,,,Done
Verify the admin should be able to select multiple checkboxes of title field and edit data by using apply button,RE-21,10020,Test,Done,RE,Real estate,software,Shruti Patil,612ef7c27c4e7900711e9356,,Medium,Done,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,02/Sep/21 12:33 PM,09/Sep/21 4:07 AM,09/Sep/21 4:53 AM,08/Sep/21 10:51 AM,,0,,,Shruti Patil,612ef7c27c4e7900711e9356,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0000q:zti,,RE Sprint 1,RE Sprint 2,RE Sprint 4,,,,,,,,Done
Verify the number of item field with Numeric data in pagination.,RE-20,10019,Test,Done,RE,Real estate,software,Shruti Patil,612ef7c27c4e7900711e9356,,Medium,Done,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,02/Sep/21 12:31 PM,09/Sep/21 4:05 AM,09/Sep/21 4:53 AM,08/Sep/21 10:52 AM,,0,,,Shruti Patil,612ef7c27c4e7900711e9356,,,,,,,,,,,RE-29,RE-5,,,,,,,,,,{},,,,,,,0|i0000q:zur,,RE Sprint 1,RE Sprint 2,RE Sprint 4,,,,,,,,Done
Verify the admin should be able to add new Property.,RE-19,10018,Test,Done,RE,Real estate,software,Shruti Patil,612ef7c27c4e7900711e9356,,Medium,Done,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,02/Sep/21 12:18 PM,09/Sep/21 4:08 AM,09/Sep/21 4:53 AM,08/Sep/21 10:52 AM,,0,,,Shruti Patil,612ef7c27c4e7900711e9356,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0000q:zux,,RE Sprint 1,RE Sprint 2,RE Sprint 4,,,,,,,,Done
Verify the admin should add search functionality for search the properties.,RE-18,10017,Test,Done,RE,Real estate,software,Shruti Patil,612ef7c27c4e7900711e9356,,Medium,Done,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,02/Sep/21 11:44 AM,09/Sep/21 4:06 AM,09/Sep/21 4:53 AM,08/Sep/21 10:57 AM,,0,,,Shruti Patil,612ef7c27c4e7900711e9356,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0000q:zzr,,RE Sprint 1,RE Sprint 2,RE Sprint 4,,,,,,,,Done
Verify the admin should Check properties section of real estate.,RE-17,10016,Test,Done,RE,Real estate,software,Shruti Patil,612ef7c27c4e7900711e9356,,Medium,Done,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,02/Sep/21 11:40 AM,09/Sep/21 4:11 AM,09/Sep/21 4:53 AM,08/Sep/21 10:56 AM,,0,,,Shruti Patil,612ef7c27c4e7900711e9356,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0000q:zzjr,,RE Sprint 1,RE Sprint 2,RE Sprint 4,,,,,,,,Done
"As a admin , I verify Action Field in edit option by apply button.",RE-16,10015,Story,Blocked,RE,Real estate,software,Shruti Patil,612ef7c27c4e7900711e9356,,Medium,Done,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,02/Sep/21 11:22 AM,09/Sep/21 4:02 AM,09/Sep/21 4:02 AM,08/Sep/21 10:51 AM,,0,,,Shruti Patil,612ef7c27c4e7900711e9356,,,,,,,,,,,,RE-6,,,,,,,,,,{},,RE-1,,,,,0|i00006:d,,RE Sprint 1,RE Sprint 2,RE Sprint 4,,,,,,,,In Progress
